Title,Work Item Type,Iteration Path,Assigned To,State,Description
設計走勢圖UI, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\界面設計, Jay, To Do, 設計股市走勢圖的用戶界面
設計數據顯示方式, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\界面設計, Jay, To Do, 設計數據顯示方式
接入股市API, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\數據接入, Jay, To Do, 接入股市API
測試數據流, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\數據接入, Jay, To Do, 測試數據流
使用D3.js生成圖表, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\圖表生成, Jay, To Do, 使用D3.js生成圖表
測試圖表顯示, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\圖表生成, Jay, To Do, 測試圖表顯示
實現WebSocket連接, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\即時更新, Jay, To Do, 實現WebSocket連接
測試即時更新功能, Task, 股市分析網\查看股市走勢圖及相關資訊\即時股市走勢圖\即時更新, Jay, To Do, 測試即時更新功能
設計數據庫架構, Task, 股市分析網\查看股市走勢圖及相關資訊\歷史數據分析\數據庫設計, Jay, To Do, 設計數據庫架構
實現數據庫查詢功能, Task, 股市分析網\查看股市走勢圖及相關資訊\歷史數據分析\數據查詢功能, Jay, To Do, 實現數據庫查詢功能
生成歷史數據圖表, Task, 股市分析網\查看股市走勢圖及相關資訊\歷史數據分析\圖表生成, Jay, To Do, 生成歷史數據圖表
測試歷史數據查詢, Task, 股市分析網\查看股市走勢圖及相關資訊\歷史數據分析\圖表生成, Jay, To Do, 測試歷史數據查詢
設計指數趨勢圖UI, Task, 股市分析網\查看股市走勢圖及相關資訊\各大指數、個股、行業板塊的趨勢圖\界面設計, Jay, To Do, 設計指數趨勢圖UI
接入指數數據API, Task, 股市分析網\查看股市走勢圖及相關資訊\各大指數、個股、行業板塊的趨勢圖\數據接入, Jay, To Do, 接入指數數據API
生成指數趨勢圖, Task, 股市分析網\查看股市走勢圖及相關資訊\各大指數、個股、行業板塊的趨勢圖\圖表生成, Jay, To Do, 生成指數趨勢圖
測試指數趨勢圖, Task, 股市分析網\查看股市走勢圖及相關資訊\各大指數、個股、行業板塊的趨勢圖\圖表生成, Jay, To Do, 測試指數趨勢圖
